ASIN,Title,Marketplace,Weight_kg,BB_avg,C_cost,m,fx_gbp_to_usd,AF,FC,SC,S_bundle,Qmin,Qmax_40,Qmax_30,Qmax_20,Qmax_15,Qmax_10,r_used,Quote_Q,Seller_ROI_%,Our_ROI_%,Margin_abs,Margin_%,Feasible,Reason
9766704961,One-Punch Man Volume Collection 1-5 5 Books Bundle,UK,0.0680388,40.138214285714284,20.23,0.0,1.3,6.82,3.0,0.5,10.32,22.253,0,0,23.13,24.58,26.17,0.2,23.13,19.99,14.34,2.9,14.34,True,
9766704961,One-Punch Man Volume 1-5 Collection 5 Books Set (S,US,0.0680388,54.29870967741935,20.23,0.0,1.3,9.23,4.25,7.8,21.28,22.253,0,0,23.97,25.94,28.08,0.2,23.97,20.0,18.49,3.74,18.49,True,
B07XLKMWZT,One Piece Series: Oda Eiichiro Vol 91-103 Collecti,US,2.39042984,127.70161290322581,52.59,0.0,1.3,21.71,6.25,7.8,35.76,57.849,0,0,70.66,75.28,80.33,0.3,62.47,30.0,18.79,9.88,18.79,True,
B09B8C4W3L,"Jujutsu Kaisen Manga Set, Vol. 1-10",US,1.85065536,79.55774193548388,40.46,0.0,1.3,13.52,4.95,7.8,26.27,44.506,0,0,40.03,42.91,46.06,0.1,46.06,9.99,13.84,5.6,13.84,True,
B09KQJNLP2,Demon Slayer: Kimetsu no Yaiba Vol (16-23) 8 Book ,US,1.56035648,84.58032258064516,31.91,0.0,1.3,14.38,4.95,7.8,27.13,35.101,0,0,43.35,46.42,49.76,0.3,37.93,30.0,18.87,6.02,18.87,True,
B0B2V9GK32,JuJuTsu Kaisen Series 1-10 set collection bundle V,UK,1.77808064,93.42206896551724,40.46,0.0,1.3,15.88,3.5,0.5,19.88,44.506,0,0,57.97,61.36,65.05,0.4,46.85,40.0,15.79,6.39,15.79,True,
B0B3DB4Q75,Dragon Ball Super Series Vol 1-20 Books Collection,US,3.55162536,197.9132258064516,80.01,0.0,1.3,33.65,6.25,7.8,47.7,88.011,0,0,117.23,124.4,132.22,0.4,93.67,40.0,17.07,13.66,17.07,True,
B0B5N1DCJ2,Hopeless 2 Books Collection Set By Colleen Hoover ,US,0.64863656,38.46741935483871,8.29,0.0,1.3,6.54,4.25,7.8,18.59,9.119,0,0,13.47,14.86,16.38,0.3,9.95,34.78,20.02,1.66,20.02,True,
B0CLF3H95P,My Hero Academia 5 Books Collection Set Volumes (3,US,0.94800728,52.70709677419355,17.98,0.0,1.3,8.96,4.25,7.8,21.01,19.778,0,0,22.91,24.82,26.91,0.2,21.58,23.75,20.02,3.6,20.02,True,
B0F38CZDDF,The Hunger Games (Deluxe Edition) Series 4-Book Co,US,1.45603032,55.57516129032258,21.08,0.0,1.3,9.45,4.95,7.8,22.2,23.188,0,0,24.11,26.13,28.32,0.2,24.11,20.01,14.37,3.03,14.37,True,
B0FCFLLM8L,Demon Slayer: Kimetsu Academy Series 5-Book Collec,US,0.226796,62.80583333333333,20.23,0.0,1.3,10.68,4.25,7.8,22.73,22.253,0,0,29.61,31.88,34.37,0.3,24.28,33.6,20.02,4.05,20.02,True,
